description,doc1_quantity,doc1_cost,unit,doc2_quantity,doc2_cost,quantity_difference,cost_difference,match_confidence,category,standardized_unit,is_temporary,is_labor,duration_type,percentage_cost_difference,significant_difference,price_category
"1/2"" drywall - walls*",,,SF,7142.0,29458.82,,,0,PAINTING,square_feet,False,False,,,False,
"5/8"" drywall - ceilings*",,,SF,1824.0,7864.64,,,0,PAINTING,square_feet,False,False,,,False,
Texture drywall - machine Walls & Ceilings*,,,SF,8966.0,11026.83,,,0,PAINTING,square_feet,False,False,,,False,
Window sill,,,LF,103.5,564.21,,,0,WINDOWS,linear_feet,False,False,,,False,
Grout sealer,,,SF,261.0,891.24,,,0,FLOOR COVERING,square_feet,False,False,,,False,
Add on to tear out mortar bed for tile,,,SF,361.0,1160.98,,,0,FLOOR COVERING,square_feet,False,False,,,False,
Interior door unit,,,EA,11.0,5046.68,,,0,DOORS,each,False,False,,,False,
Sink - double basin - High grade,,,EA,1.0,814.83,,,0,OFFICE SUPPLIES,each,False,False,,,False,
Plumbing fixture supply line,,,EA,2.0,72.6,,,0,PLUMBING,each,False,False,,,False,
Robe hook,,,EA,1.0,26.28,,,0,BATHROOM ACCESSORIES,each,False,False,,,False,
Robe hook,,,EA,1.0,26.28,,,0,BATHROOM ACCESSORIES,each,False,False,,,False,
Tub/shower faucet - High grade,,,EA,1.0,625.81,,,0,PLUMBING,each,False,False,,,False,
Bathtub,,,EA,1.0,1481.49,,,0,PLUMBING,each,False,False,,,False,
Robe hook,,,EA,1.0,26.28,,,0,BATHROOM ACCESSORIES,each,False,False,,,False,
Sink faucet - Bathroom - High grade,,,EA,1.0,429.85,,,0,OFFICE SUPPLIES,each,False,False,,,False,
Shower head only,,,EA,1.0,97.08,,,0,PLUMBING,each,False,False,,,False,
Tub/shower faucet - High grade,,,EA,1.0,625.81,,,0,PLUMBING,each,False,False,,,False,
Bathtub,,,EA,1.0,1481.49,,,0,PLUMBING,each,False,False,,,False,
"Fireplace, zero clnce, gas burning, w/venting - High grade",,,EA,1.0,5303.49,,,0,ROOFING,each,False,False,,,False,
Fireplace mantel - paint grade - prefab.,,,EA,1.0,860.04,,,0,PAINTING,each,False,False,,,False,
Newel post - turned,,,EA,2.0,709.58,,,0,STAIRS,each,False,False,,,False,
Newel post - turned,,,EA,2.0,709.58,,,0,STAIRS,each,False,False,,,False,
Refrigerator - Reset,,,EA,1.0,42.63,,,0,UNCATEGORIZED,each,False,False,,,False,
Dishwasher,,,EA,1.0,938.95,,,0,CLEANING,each,False,False,,,False,
Dishwasher connection,,,EA,1.0,267.84,,,0,CLEANING,each,False,False,,,False,
"Ductwork - flexible - insulated - 4"" round",,,LF,12.0,164.28,,,0,HVAC,linear_feet,False,False,,,False,
Install Range - freestanding - gas,,,EA,1.0,302.42,,,0,APPLIANCES,each,False,False,,,False,
Washing machine hose line - rubber (per pair),,,EA,1.0,62.41,,,0,CLEANING,each,False,False,per pair,,False,
Clothes dryer vent - installed,,,EA,1.0,109.48,,,0,ROOFING,each,False,False,,,False,
"Custom cabinet panels - side, end, or back - High grade",,,SF,30.0,1208.72,,,0,SIDING,square_feet,False,False,,,False,
Cabinet knob or pull - High grade,,,EA,1.0,19.0,,,0,CABINETRY,each,False,False,,,False,
"Ceramic tile - bullnose - 3/4"" x 6""",,,LF,19.5,382.82,,,0,FLOOR COVERING,linear_feet,False,False,,,False,
"Toe kick - pre-finished wood - 1/2""",,,LF,16.67,259.58,,,0,FLOOR COVERING,linear_feet,False,False,,,False,
Stain & finish cabinetry - upper - inside and out,,,LF,5.67,572.05,,,0,PAINTING,linear_feet,False,False,,,False,
Stain & finish full height cabinetry - inside and out,,,LF,1.0,156.59,,,0,PAINTING,linear_feet,False,False,,,False,
"Window sill - tile on 2"" x 6"" wall",,,LF,18.0,462.36,,,0,FLOOR COVERING,linear_feet,False,False,,,False,
Fluorescent - four tube - 4' - fixture w/lens,,,EA,1.0,215.26,,,0,PLUMBING,each,False,False,,,False,
"Light diffusing panel - Premium grade (i.e., egg crate)",,,SF,16.0,66.75,,,0,SIDING,square_feet,False,False,,,False,
"Material Only Cabinet panels - side, end, or back",,,SF,16.0,162.04,,,0,SIDING,square_feet,False,False,,,False,
"Carpenter - Finish, Trim / Cabinet - per hour",,,HR,8.0,1173.4,,,0,OFFICE SUPPLIES,hours,False,True,,,False,
Painter - per hour,,,HR,1.0,124.8,,,0,PAINTING,hours,False,True,,,False,
Mask per square foot for drywall work,,,SF,7142.0,3306.9,,,0,PAINTING,square_feet,False,False,,,False,
"Floor protection - cloth - skid resistant, leak proof",,,SF,1824.0,2657.46,,,0,FLOOR COVERING,square_feet,False,False,,,False,
Seal/prime then paint walls twice *,,,SF,7142.0,16858.41,,,0,PAINTING,square_feet,False,False,,,False,
Seal/prime then paint ceiling twice. *,,,SF,1824.0,4305.48,,,0,PAINTING,square_feet,False,False,,,False,
Seal & paint window sill,,,LF,103.5,480.79,,,0,PAINTING,linear_feet,False,False,,,False,
Paint baseboard - two coats,,,LF,587.0,1533.17,,,0,PAINTING,linear_feet,False,False,,,False,
Paint door slab only - 2 coats (per side),,,EA,22.0,1501.86,,,0,PAINTING,each,False,False,per side,,False,
Paint door/window trim & jamb - Large - 2 coats (per side),,,EA,22.0,1473.22,,,0,PAINTING,each,False,False,per side,,False,
Paint bypass door set - slab only - 2 coats (per side),,,EA,4.0,352.38,,,0,PAINTING,each,False,False,per side,,False,
Seal & paint fireplace mantel,,,LF,5.0,47.14,,,0,PAINTING,linear_feet,False,False,,,False,
Stain and finish Balustrade - Landing & Stairs*,,,LF,32.0,1679.0,,,0,PAINTING,linear_feet,False,False,,,False,
15' rolling Scaffold*,,,WK,8.0,1053.6,,,0,SCAFFOLDING,weeks,False,False,,,False,
Electrician - General Laborer - per hour,,,HR,8.0,636.0,,,0,ELECTRICAL,hours,False,True,,,False,
Rewire\wire - avg. residence - boxes & wiring,,,SF,2185.11,15371.99,,,0,ELECTRICAL,square_feet,False,False,,,False,
R&R Air handler - with A-coil - 3 ton,,,EA,1.0,3084.04,,,0,HVAC,each,False,False,,,False,
"R&R Sheathing - plywood - 5/8"" - tongue and groove",,,SF,32.0,240.03,,,0,FLOOR COVERING,square_feet,False,False,,,False,
R&R remove and replace blocking between ends of floor trusses*,,,LF,4.0,212.99,,,0,FLOOR COVERING,linear_feet,False,False,,,False,
Chandelier - High grade,,,EA,1.0,568.36,,,0,LIGHTING & ELECTRICAL,each,False,False,,,False,
"Add on - Ceiling fan down rod - 37""-72"" - High/Prem grade",,,EA,1.0,138.56,,,0,PAINTING,each,False,False,,,False,
R&R Lighting Installer - Electrician - per hour,,,HR,3.0,573.56,,,0,ELECTRICAL,hours,False,True,,,False,
Heat/AC register - Mechanically attached,,,EA,1.0,38.1,,,0,HVAC,each,False,False,,,False,
Smoke detector,,,EA,1.0,98.69,,,0,SMOKE & SAFETY DEVICES,each,False,False,,,False,
Seal & paint closet shelving - single shelf,,,EA,1.0,93.81,,,0,PAINTING,each,False,False,,,False,
Heat/AC register - Mechanically attached,,,EA,1.0,38.1,,,0,HVAC,each,False,False,,,False,
Smoke detector,,,EA,1.0,98.69,,,0,SMOKE & SAFETY DEVICES,each,False,False,,,False,
"Phone, TV, or speaker outlet",,,EA,1.0,33.95,,,0,ELECTRICAL,each,False,False,,,False,
Phone/low voltage outlet rough-in,,,EA,1.0,99.48,,,0,ELECTRICAL,each,False,False,,,False,
"Shelving - 24"" - in place",,,LF,9.0,213.73,,,0,HVAC,linear_feet,False,False,,,False,
Hanging light fixture,,,EA,1.0,145.44,,,0,ELECTRICAL,each,False,False,,,False,
Heat/AC register - Mechanically attached,,,EA,1.0,38.1,,,0,HVAC,each,False,False,,,False,
Smoke detector,,,EA,1.0,98.69,,,0,SMOKE & SAFETY DEVICES,each,False,False,,,False,
"Phone, TV, or speaker outlet",,,EA,1.0,33.95,,,0,ELECTRICAL,each,False,False,,,False,
Phone/low voltage outlet rough-in,,,EA,1.0,99.48,,,0,ELECTRICAL,each,False,False,,,False,
Heat/AC register - Mechanically attached,,,EA,1.0,38.1,,,0,HVAC,each,False,False,,,False,
Exhaust fan,,,EA,1.0,362.78,,,0,VENTILATION,each,False,False,,,False,
Heat/AC register - Mechanically attached,,,EA,1.0,38.1,,,0,HVAC,each,False,False,,,False,
"Phone, TV, or speaker outlet",,,EA,1.0,33.95,,,0,ELECTRICAL,each,False,False,,,False,
Phone/low voltage outlet rough-in,,,EA,1.0,99.48,,,0,ELECTRICAL,each,False,False,,,False,
Closet Organizer - Melamine - High grade,,,LF,6.33,1337.03,,,0,CLOSET ORGANIZATION,linear_feet,False,False,,,False,
Heat/AC register - Mechanically attached,,,EA,1.0,38.1,,,0,HVAC,each,False,False,,,False,
"Phone, TV, or speaker outlet",,,EA,1.0,33.95,,,0,ELECTRICAL,each,False,False,,,False,
Phone/low voltage outlet rough-in,,,EA,1.0,99.48,,,0,ELECTRICAL,each,False,False,,,False,
Closet Organizer - Melamine - High grade,,,LF,6.0,1267.33,,,0,CLOSET ORGANIZATION,linear_feet,False,False,,,False,
Heat/AC register - Mechanically attached,,,EA,1.0,38.1,,,0,HVAC,each,False,False,,,False,
"Phone, TV, or speaker outlet",,,EA,1.0,33.95,,,0,ELECTRICAL,each,False,False,,,False,
Phone/low voltage outlet rough-in,,,EA,1.0,99.48,,,0,ELECTRICAL,each,False,False,,,False,
Closet Organizer - Melamine - High grade,,,LF,11.0,2323.43,,,0,CLOSET ORGANIZATION,linear_feet,False,False,,,False,
Heat/AC register - Mechanically attached,,,EA,1.0,38.1,,,0,HVAC,each,False,False,,,False,
"Phone, TV, or speaker outlet",,,EA,1.0,33.95,,,0,ELECTRICAL,each,False,False,,,False,
Phone/low voltage outlet rough-in,,,EA,1.0,99.48,,,0,ELECTRICAL,each,False,False,,,False,
Closet Organizer - Melamine - High grade,,,LF,7.75,1636.98,,,0,CLOSET ORGANIZATION,linear_feet,False,False,,,False,
General Laborer - per hour,,,HR,160.0,12720.0,,,0,DEMOLITION & LABOR,hours,False,True,,,False,
Engineering fees (Bid Item),,,EA,1.0,0.0,,,0,PERMITS & FEES,each,False,False,,,False,
Architectural/Drafting fees (Bid Item),,,EA,1.0,0.0,,,0,PERMITS & FEES,each,False,False,,,False,
"Taxes, insurance, permits & fees (Bid Item)",,,EA,1.0,0.0,,,0,PERMITS & FEES,each,False,False,,,False,
